b1_a,b1_b,b3_a,b3_b,gap1_vox,gap3_vox,opening_vox,axis_dip_deg,z_mid,r_bond1_vox,connected1,outcome,crack_frac3,neck_severed3,q_crack3
207,213,151,158,1.0,1.0,0.0,75.64950081237096,581.1826056230307,29.169201664928583,True,survived,0.0,0.0,
207,217,151,163,6.834654549917682,6.358898943540674,-0.47575560637700764,61.97275130276779,590.640373028663,24.22075804422162,True,survived,0.0,0.0,
207,232,151,179,1.0,1.0,0.0,17.797140121245583,606.1458175176324,27.19838553096727,True,survived,0.0,0.0,
208,219,153,169,6.071067811865476,5.741657386773941,-0.3294104250915355,63.643961233144005,592.424322180088,27.045815174447064,True,survived,0.0,0.0,
208,224,153,172,1.0,1.0,0.0,49.45563581025718,598.6270501227523,33.487396569836456,True,survived,0.0,0.0,
208,231,153,181,1.0,1.0,0.0,20.666133701231868,606.8389351325945,33.20101106675017,True,survived,0.0,0.0,
209,211,154,159,1.0,1.0,0.0,80.69601662095484,588.0907752636109,28.14169498849121,True,survived,0.0,0.0,
209,212,154,156,1.0,1.0,0.0,83.78977680074645,586.4172086312533,30.29860907292697,True,survived,0.0,0.0,
209,234,154,183,1.0,1.0,0.0,21.16470168230683,615.0253593161731,30.07188698183321,True,survived,0.0,0.0,
211,213,159,158,1.0,1.0,0.0,87.29616593856117,592.02486588905,26.227231345362625,True,survived,0.0,0.0,
213,219,158,169,3.3166247903554,3.47213595499958,0.15551116464418024,75.28847342409594,600.3850419213364,26.24542995840844,True,survived,0.0,0.0,
213,228,158,178,1.0,1.0,0.0,51.70454569086624,611.9105095837826,24.753717516845768,True,survived,0.0,0.0,
213,229,158,182,6.071067811865476,6.032065437739018,-0.03900237412645868,56.43818173917367,612.1373204037604,25.04137527736981,True,survived,0.0,0.0,
213,232,158,179,1.0,1.0,0.0,45.4171095302619,615.3396927170612,28.15300368695388,True,survived,0.0,0.0,
214,238,155,184,1.0,1.0,0.0,25.650882125876574,632.0682868849758,28.878571671769564,True,survived,0.0,0.0,
214,239,155,185,5.708203932499369,5.19114712955712,-0.5170568029422498,34.863679999676,630.3610444389894,26.809396170055734,True,survived,0.0,0.0,
215,219,165,169,1.0,1.0,0.0,81.61751367804754,605.5063159370711,31.77544585013693,True,survived,0.0,0.0,
211,229,159,182,1.0,1.0,0.0,55.08538273578299,613.785705470351,33.66278649806482,True,survived,0.0,0.0,
211,234,159,183,1.0,1.0,0.0,39.37919750729685,620.6078350082028,31.925354431243168,True,survived,0.0,0.0,
212,237,156,186,2.863703305156273,2.6502815398728847,-0.21342176528338808,21.09300684830672,625.0572709149218,28.988585676524604,True,survived,0.0,0.0,
215,229,165,182,1.0,1.0,0.0,61.50555589917271,617.2585944194952,31.040683392579076,True,survived,0.0,0.0,
215,241,165,198,1.0,1.0,0.0,5.684951201686788,637.7904620301467,31.12261209566567,True,survived,0.0,0.0,
