bead_id,voxels,volume_mm3,r_eq_vox,cz,cy,cx,r_fit_vox,fill,roughness,sphericity,radius_ok,shape_ok,scan
43,183576,2.7885903048531997,35.256762580832095,40.00857410554757,37.42540419226914,41.01559027323833,34.862513429553815,1.0343111575318842,0.029962313182968325,0.9586143646406563,True,True,1
44,169074,2.568299326724353,34.3027869547611,37.60343991388386,36.50670712232514,36.54904361403882,33.95566660417907,1.0309828375695753,0.024840445511262382,0.9368413646461338,True,True,1
45,190071,2.88725186208302,35.667752969417855,37.99857947819499,36.97618258440267,40.524614486165696,35.23057556475461,1.0376909647009163,0.036008475722548346,0.89177875202625,True,True,1
46,189146,2.873200755010259,35.609798595509936,38.72632781026297,41.30804246455119,37.30803717762998,35.26727682286615,1.0294204035242365,0.05169345098379058,0.8366659949397262,True,True,1
47,148069,2.2492252682774896,32.81898746425228,35.00737494006173,35.790422032971115,36.52971249890254,32.54541614287879,1.025430065933872,0.027683203936368722,0.9248253989759241,True,True,1
48,184969,2.8097505125854765,35.34571568790923,38.790013461715205,35.77890889824781,34.57352313090301,35.02168851665349,1.028014158421168,0.03275523563950788,0.9023367162954833,True,True,1
49,183063,2.780797636822576,35.22389046776588,34.98670949345308,37.44250340046869,38.477474967634095,34.73346010146276,1.0429603973723178,0.033176612689779714,0.9109816650445346,True,True,1
50,153799,2.3362661801984856,33.23698599792889,33.2043771415939,39.76830798639783,35.59205196392694,32.8672429160119,1.0341298604688416,0.037475199909542706,0.8908860733275379,True,True,1
51,186100,2.826930839179307,35.41761026092977,37.599865663621706,40.30302525523912,37.07921547555078,35.000853624405835,1.0361481473090755,0.02848567533004822,0.9289286230350645,True,True,1
52,168413,2.558258481562088,34.25802597250585,37.10379246257712,39.566078628134406,36.22327255021881,33.885149762088986,1.0333769605049519,0.028607220562979672,0.9515918044767279,True,True,1
53,179170,2.721661464028782,34.97241002038956,39.369888932298934,37.234151922754926,40.325355807333814,34.65641032063965,1.0276043966450712,0.0401046818699788,0.9001402643080211,True,True,1
54,190616,2.895530622466431,35.70181107666943,41.34298799681034,39.57300016787678,37.50745477819281,35.25567960433547,1.0384449298671976,0.033772431009991076,0.9346829912048961,True,True,1
55,165921,2.5204040395887684,34.08821411367425,36.61611248726804,36.41914525587478,36.1112457133214,33.66584853016896,1.0381116190476098,0.02216524111739782,0.9531165612239011,True,True,1
56,177702,2.6993619773446595,34.876634400274355,37.676407693779474,37.81102632497102,36.01878988418814,34.46733948616493,1.0360492988105676,0.026496774643132413,0.9358071516906386,True,True,1
57,171509,2.6052879166942704,34.466678659063646,37.25146785299897,36.09472972263846,38.943274113894894,34.03131325546819,1.0388723306337926,0.024912475367250574,0.9778298268346485,True,True,1
58,216589,3.2900705186835406,37.25483082647597,33.83085475254976,36.673944660162796,48.47495486843746,36.681766451994676,1.0476037937959042,0.11785216663905228,0.6703886487704982,True,True,1
59,192120,2.918376963047439,35.795463440067245,42.03329169269207,37.24027170518426,40.692593170934835,35.27912340579216,1.0445533160846063,0.030359868590695636,0.9216869626537729,True,True,1
60,178338,2.7090230628563097,34.918192981879045,38.74206282452422,38.8230046316545,36.72556605995357,34.51256567328224,1.0356751225391603,0.021724923276833008,0.959338275378455,True,True,1
61,180764,2.7458749393520057,35.07581557108058,39.55278152729526,37.42216370516253,37.27031931136731,34.72898098196754,1.0302608867053014,0.021474674377881572,0.9553834250735437,True,True,1
62,202581,3.0772835912508496,36.43370747772507,43.28471080703521,39.611533164511975,38.12193641062094,36.06700273691016,1.0308131327472008,0.07246563035167917,0.7725587629760682,True,True,1
63,177621,2.6981315560766665,34.87133444730795,36.80835599394216,36.62200978487904,36.924699219123866,34.47140590734287,1.0352106050828298,0.015540065872937431,0.9713141996351174,True,True,1
64,159784,2.4271806405557568,33.6626441816288,39.60726355580033,36.82251664747409,34.124530616332045,33.19630187914166,1.0427388719791657,0.031146584582435913,0.921575730689548,True,True,1
65,192457,2.9234961231377317,35.816380965084186,40.615171181095,36.87536436710538,38.74895690985519,35.37297203441848,1.038079106997107,0.02491969404655547,0.9368535374543718,True,True,1
66,161599,2.454751191190418,33.789623541527995,36.27659205811917,35.15876335868415,36.289500553840064,33.375188811309165,1.0377168431331718,0.019903263337405823,0.9626850547744185,True,True,1
67,177937,2.702931718060442,34.892001698390644,37.259479478691894,37.97923422334871,37.038367512096976,34.65876472619466,1.0203247347590807,0.028719405664259418,0.9202974802480259,True,True,1
68,160034,2.4309782370619084,33.68019136151852,35.931252108926856,35.524626016971396,37.450516765187395,33.34774063109279,1.0302067855081027,0.020613607847041658,0.9560684903262007,True,True,1
69,190451,2.8930242087723705,35.691506766142716,39.77606313434952,43.49908900452085,38.572378197016555,35.389270113429035,1.0258404769984255,0.03341156266569575,0.923505341905304,True,True,1
70,175020,2.6586213620266648,34.70028353405102,36.10483944692035,36.458416181007884,39.57213461318707,34.27444023095884,1.0377385692411614,0.020965073609509218,0.9709799108296916,True,True,1
71,164270,2.4953247122621427,33.97477187135255,35.96416265903695,35.373367017714735,35.672082547026235,33.59525531767608,1.034274482260526,0.029611416584624364,0.9109759259314099,True,True,1
72,160458,2.4374189607363417,33.709909646369326,39.021563275124954,35.589668324421346,35.077746201498215,33.38699862524162,1.0292968120199923,0.029428393780650246,0.9296869578170335,True,True,1
73,183893,2.793405657223,35.277044765051535,37.992435818655416,37.848999146242654,36.694920415676506,34.987527333874056,1.025030613667582,0.02460576457827768,0.9319412880955275,True,True,1
74,195326,2.9670773406423283,35.993478145085604,36.05917798961736,39.8399189048053,40.102981681906144,35.46823341230962,1.0450877894742308,0.04694778644583949,0.8642406102213617,True,True,1
75,170159,2.5847808955610514,34.376007738219194,39.93815196375155,36.43449949752878,35.87550467503923,33.948840853441,1.0382249568887076,0.023919827598356914,0.9493826990889678,True,True,1
76,168424,2.558425575808359,34.25877181770291,36.43846482686553,38.43968793046122,35.54021992115138,33.89243815506046,1.0327778889226462,0.02175054759315342,0.9394462144289742,True,True,1
77,173121,2.6297748189659362,34.57432533319817,37.03241085714616,38.41917502787068,35.05470740118183,34.16871063771164,1.036037248841516,0.021983010140713986,0.9552350940399733,True,True,1
78,181837,2.7621742235564084,35.145081070064364,42.669786677078925,36.24312433663116,36.362846945341154,34.74798785501515,1.0346766903294238,0.03227780779681201,0.9215767318213535,True,True,1
79,157035,2.385422269374113,33.468476987330554,35.04812939790492,36.02699398223326,36.78072404241093,33.00575248534102,1.042650927802901,0.027597735004851208,0.9257234756213044,True,True,1
80,194063,2.94789188309325,35.91573102990557,37.139588690270685,39.11367957828128,38.757491124016425,35.418906486734734,1.0426743385680912,0.052317300154606505,0.843963055516931,True,True,1
81,172331,2.6177744140064974,34.52165433161301,40.653335731818416,37.30654960512038,38.59243548752111,34.12145429214201,1.0356003771066808,0.024871697756907972,0.9750186393482252,True,True,1
82,170993,2.5974496775055735,34.4320785860252,39.18700180709152,35.687349774552175,36.9424713292357,33.89596744338189,1.0482035374425414,0.029913293554717477,0.934705312111506,True,True,1
83,169893,2.580740252878506,34.358085702599126,35.93446463362234,40.20268639673206,40.13791033179707,33.948464292243074,1.0366364529646175,0.026711382859874764,0.9595576011892425,True,True,1
84,172365,2.6182908871313337,34.52392449593839,36.244927914599835,36.297368955414385,39.75706785020161,34.10148531660916,1.0376253851950499,0.018183441780367845,0.9729248050388386,True,True,1
85,160976,2.445287580697088,33.74614545572217,37.728176871086376,39.41201794056257,37.549703061325914,33.31027481371029,1.0397714185671396,0.03152699105711521,0.9249880143129584,True,True,1
86,171723,2.6085386593035365,34.481007943272154,35.942075318973,35.95267960610984,36.55231390087525,34.045636959560625,1.038856272356017,0.01982760963538655,0.970432900430994,True,True,1
87,176479,2.6807841352365656,34.79643955593624,37.03020189370973,38.920160472350815,36.13481490715609,34.42333446806353,1.0328698850389035,0.020298760856288983,0.9577140634457227,True,True,1
88,176166,2.6760295444108637,34.775855934474144,37.00932075428857,40.02391494385977,40.70683332765687,34.34231879491185,1.0383520817194958,0.02333048067509016,0.9749152425057483,True,True,1
89,190892,2.899723169009222,35.71903409368248,39.8614294994028,38.81632546151751,37.3864855520399,35.48351153136303,1.020045026285538,0.03386781019773726,0.8953705225476826,True,True,1
90,186703,2.8360906419521448,35.45582232197015,42.272223799296206,38.459965828079895,35.986540119869524,35.236787682270155,1.0187643947016252,0.07160048286869636,0.7688060472272515,True,True,1
91,185855,2.8232091946032782,35.402061048703075,39.48100400850125,37.79168706787549,37.06057948400635,34.86330172480084,1.0470805595106178,0.03160480945369972,0.9364286435582558,True,True,1
92,155498,2.3620746460542925,33.35892647033984,37.7762286331657,34.630580457626465,39.406448957542864,32.94834394722242,1.0378519973433236,0.022650348390785467,0.9694105166718481,True,True,1
93,182737,2.7758455709785546,35.202969052050186,37.71846971330382,36.283314271329836,39.818969338448156,34.96586703681724,1.0204811247039443,0.025921073333966194,0.9349170512725136,True,True,1
94,186635,2.8350576957024716,35.451517287264494,41.25331261553299,35.664146596297584,41.20588849894178,35.166262231764044,1.0245327628117677,0.04950270713515782,0.8462523942173011,True,True,1
95,173976,2.642762599016975,34.63114978246841,35.55073688324826,39.592564491654024,38.968053064790546,34.25372105735447,1.0334214267635071,0.024019750263315084,0.9500634120285849,True,True,1
96,193674,2.941982822929678,35.89171723902232,41.13201565517313,39.91023059367804,41.18848167539267,35.407277674355626,1.0416099080897236,0.06131962071266192,0.8256777700158408,True,True,1
97,179867,2.7322491630879333,35.01770076729709,37.661577721316306,36.75056013610056,38.024334647267146,34.60642493351479,1.0360785277319762,0.020380430783671712,0.9778692687077599,True,True,1
98,191129,2.903323290497054,35.73381018018388,38.0492808521993,39.42041762369918,37.62251672953869,35.30650920954308,1.0367490273682216,0.03917253802454483,0.8819535758780964,True,True,1
99,174864,2.656251661806826,34.68997070627658,36.12681283740507,36.46544743343398,36.333722206972276,34.289109607027505,1.0354834828674349,0.02227548129968723,0.9686017538303686,True,True,1
100,173478,2.635197786776721,34.598074732923536,38.95899191828359,40.701362708816106,35.86725117882383,34.13876415438441,1.0409081557287472,0.024146416052051582,0.9615904691638267,True,True,1
101,164832,2.5038617092079716,34.01347256433695,37.539082217045234,41.76483328479907,35.56995607649,33.57428600190866,1.0397586977234596,0.02687763517305632,0.9728207789616845,True,True,1
102,183663,2.7899118684373403,35.262331307892076,38.957873932147464,38.61302494242172,40.191606366007306,34.823520175504136,1.0382813524499623,0.021661398023066315,0.9748663932811843,True,True,1
103,184560,2.8035376447014126,35.319644533528646,38.28998699609883,41.203435197225836,37.38258560901604,35.15516295665066,1.0141019692430169,0.04068350218774361,0.876936472031839,True,True,1
104,179802,2.731261787996334,35.01348204867239,38.595566233968476,38.13129998553965,36.86557991568503,34.87463242825825,1.0119917968406469,0.036731646197599575,0.9060376324505316,True,True,1
105,191660,2.91138938547612,35.766871809248094,40.296686841281435,38.67304080141918,39.96651361786497,35.46413710950456,1.0258283153811596,0.034252287552918766,0.899031391748525,True,True,1
106,185682,2.820581257821021,35.391073167723775,37.27223963550586,37.00746976012753,40.45992611023147,35.02885541321827,1.0313435474176953,0.0216323787210797,0.9460556030950783,True,True,1
107,178110,2.7055596548426992,34.90330600098425,38.210723710066816,37.177614957049016,37.06735725113694,34.466507468643215,1.0385032503080585,0.026118186615697057,0.9549995948323856,True,True,1
108,177517,2.6965517559301073,34.864527206370376,37.01593086859287,36.55456097162525,39.77060225217866,34.43131800086891,1.0382224083461968,0.023436987100140177,0.9545387088440579,True,True,1
109,211357,3.210594419002798,36.952402140663864,44.631580690490495,36.30456053028762,40.06760599365055,36.223081171458645,1.0616267657260972,0.09083692377423165,0.7498836831199402,True,True,1
110,169568,2.5758033774205087,34.33616306944998,38.73575202868466,39.27826594640498,35.83595371768258,33.89921875858691,1.0391690891052405,0.03447615056508022,0.9064012282417571,True,True,1
111,227890,3.461737071147621,37.891827630135865,41.985712405107726,46.26607573829479,37.955355654043615,37.419892555422,1.0383148147419816,0.08128795920278817,0.7670188637952049,True,True,1
112,173404,2.6340736982109,34.59315456695237,35.9359761020507,36.542865216488664,39.22080805517751,34.184548638371375,1.0362891523446756,0.018525590076947665,0.9770964592715009,True,True,1
113,193339,2.9368940436114346,35.871011199549,41.28698814000279,40.678497354387886,39.021087312958066,35.49126336237683,1.032443945486741,0.07640879292767201,0.7687451635884704,True,True,1
114,230021,3.4941077837660575,38.00957024591864,39.16177653344695,45.015998539263805,44.06905891201238,37.886018904810804,1.0098153382185442,0.11409990470225423,0.6634991911539346,True,True,1
115,170772,2.5940926021941353,34.41723827088611,36.270729393577405,38.30557117091795,39.65458037617408,33.96163818227042,1.0407877283814562,0.0312597461996034,0.901638006944521,True,True,1
116,180489,2.7416975831952386,35.05801935631644,40.0790408279729,36.7047853331782,37.55731374211171,34.69318659834261,1.0318808517330376,0.02430561276990154,0.9496046149396223,True,True,1
117,164938,2.50547189012658,34.02076211877104,38.325964908026044,38.55689410566394,35.107761704398015,33.66785567484764,1.0317767669013254,0.024146996608799556,0.9473667594043613,True,True,1
118,172367,2.618321267903383,34.52405802571905,38.67532648360765,35.33056211455789,40.712172283557756,34.08587801765283,1.03906342328594,0.027308991603165092,0.9484871172614794,True,True,1
