b1_a,b1_b,b3_a,b3_b,gap1_vox,gap3_vox,opening_vox,axis_dip_deg,z_mid,r_bond1_vox,connected1,outcome,crack_frac3,neck_severed3,q_crack3
125,132,132,154,1.0,27.871573385064877,26.871573385064877,70.08143915788574,690.4644662296975,30.67967296835918,True,separated,,,
128,144,134,158,1.0,66.45504535031964,65.45504535031964,66.56338926645698,707.0889884086665,34.503318308930474,True,separated,,,
128,150,134,150,1.0,14.091112634700416,13.091112634700416,49.018031616477685,715.845174451216,27.022266353983262,True,separated,,,
131,134,144,140,1.0,1.0,0.0,88.15934231115835,698.5043719528633,31.38740348832366,True,survived,0.0,0.0,
131,135,144,152,1.0,27.48979855658054,26.48979855658054,86.55869100796451,699.5099655729462,28.45104638788141,True,separated,,,
131,157,144,174,1.0,1.0,0.0,28.49667340324728,728.1966350971006,26.33019050649456,True,survived,0.0,0.00064495324089,
132,133,154,133,1.0,30.695316812985602,29.695316812985602,85.85867324265843,699.488263222019,31.64495065463376,True,separated,,,
133,156,133,167,1.0,1.0,0.0,26.48246582009904,727.3651112738823,26.33623439283756,True,survived,0.0160081743869209,0.15552,0.4068781988545112
133,160,133,175,6.071067811865476,29.856316014679557,23.78524820281408,29.02186812698347,730.3945660164413,25.977239243415305,True,separated,,,
134,157,140,174,1.0,49.922077149762735,48.922077149762735,31.558930477822777,729.3123153408445,26.910128038865288,True,separated,,,
134,160,140,175,1.0,1.8284271247461903,0.8284271247461903,26.473423978422037,731.7275444569984,29.413708889691947,True,survived,0.0,0.0021436227224008,
132,156,154,167,1.0,1.0,0.0,35.82059493738899,729.8992791804083,29.283559096857267,True,survived,0.0,0.0590699622957687,
133,134,133,140,1.0,19.7742223230968,18.7742223230968,87.78244220605953,698.2870737560502,27.45465007031079,True,separated,,,
135,154,152,163,1.0,42.390885928621415,41.390885928621415,37.70369079388703,729.9077945041084,28.96112135422744,True,separated,,,
136,139,137,142,1.0,1.0,0.0,85.19775190275351,706.7359493485792,27.67405980621926,True,survived,0.0,0.0,
136,159,137,168,1.0,6.817337799805944,5.817337799805944,31.06165756262589,732.7285427401164,26.684437700523876,True,survived,0.0,0.0,
136,162,137,189,1.0,31.36712451972258,30.36712451972258,28.72048503849736,734.0183250526948,22.903595622322865,True,separated,,,
137,149,162,148,1.0,1.0,0.0,67.13480430999704,719.7537162422225,25.507359866510456,True,survived,0.0,0.1418289585097375,
137,163,162,186,1.0,1.0,0.0,32.470405974594854,735.556334722066,29.50015642037316,True,survived,0.0,0.0132505175983436,
139,147,142,146,1.0,1.0,0.0,71.08504893798478,720.7388959479845,38.72001503002877,True,survived,0.0,0.0,
139,162,142,189,5.0,54.20582861297055,49.20582861297055,47.77482019677563,736.9539998262513,21.37973331358283,True,separated,,,
144,150,158,150,1.8284271247461903,16.502441341993276,14.674014217247086,75.70582671859516,729.4396841189035,28.86203340277639,True,separated,,,
145,149,147,148,1.0,1.0,0.0,83.3168434100001,728.9201252451235,27.977205187901475,True,survived,0.0,0.0,
145,151,147,145,1.0,36.41368062782381,35.41368062782381,78.41809829122448,731.7144755984625,29.14736842709025,True,separated,,,
145,166,147,177,1.0,1.0,0.0,43.74802643571605,748.9888807590678,27.350104799285653,True,survived,0.0,0.0426540284360189,
143,153,141,184,1.7320508075688772,47.50668454645033,45.774633738881455,65.37704527371544,734.2255178906044,24.727985994800747,True,separated,,,
147,170,146,171,1.0,22.132983677811822,21.132983677811822,49.34080642409351,754.1027636405734,32.049742631027364,True,separated,,,
147,173,146,179,1.0,1.0,0.0,17.094742625370564,763.9140284128716,34.09031232560095,True,survived,0.0,0.1048062672030489,
149,175,148,182,1.0,1.0,0.0,6.820327632295734,769.0383855262589,25.922040230930552,True,survived,0.0,0.0,
150,161,150,166,1.0,3.47213595499958,2.47213595499958,67.53577158619096,751.7528473810737,23.09045385777095,True,survived,0.0,0.0,
