bond_id;labelA;labelB;cx_A;cy_A;cz_A;cx_B;cy_B;cz_B;dist_vox;dist_um
468;136;159;371.30;257.45;438.50;347.01;294.35;492.99;70.150;1737.3
469;137;145;302.05;310.80;440.79;309.06;241.67;464.51;73.424;1818.4
470;137;148;302.05;310.80;440.79;274.71;371.06;467.49;71.350;1767.1
471;137;153;302.05;310.80;440.79;251.88;269.79;488.38;80.394;1991.0
472;137;159;302.05;310.80;440.79;347.01;294.35;492.99;70.823;1754.0
473;138;139;448.91;376.82;452.14;396.96;427.26;449.74;72.449;1794.3
474;138;143;448.91;376.82;452.14;392.35;331.56;453.26;72.447;1794.2
475;138;157;448.91;376.82;452.14;471.17;318.35;490.72;73.508;1820.5
476;139;152;396.96;427.26;449.74;341.55;384.83;488.43;79.794;1976.2
477;139;163;396.96;427.26;449.74;408.53;414.54;516.23;68.672;1700.7
478;140;155;294.74;116.39;446.45;238.91;131.78;491.81;73.562;1821.8
479;140;164;294.74;116.39;446.45;309.92;114.40;518.09;73.264;1814.5
480;141;156;476.70;262.64;447.86;414.03;277.19;490.47;77.169;1911.2
481;141;157;476.70;262.64;447.86;471.17;318.35;490.72;70.512;1746.3
482;141;167;476.70;262.64;447.86;470.40;246.92;521.17;75.240;1863.4
483;142;153;220.85;220.57;452.52;251.88;269.79;488.38;68.342;1692.6
484;142;154;220.85;220.57;452.52;179.70;172.48;488.44;72.777;1802.4
485;142;165;220.85;220.57;452.52;234.41;205.82;522.12;72.425;1793.7
486;143;152;392.35;331.56;453.26;341.55;384.83;488.43;81.583;2020.5
487;143;156;392.35;331.56;453.26;414.03;277.19;490.47;69.358;1717.7
488;143;159;392.35;331.56;453.26;347.01;294.35;492.99;70.846;1754.6
489;143;166;392.35;331.56;453.26;390.29;344.38;521.01;68.989;1708.6
490;144;147;185.80;297.45;456.93;144.96;241.59;465.58;69.732;1727.0
491;144;153;185.80;297.45;456.93;251.88;269.79;488.38;78.230;1937.5
492;144;161;185.80;297.45;456.93;223.04;334.42;507.14;72.627;1798.7
493;144;174;185.80;297.45;456.93;199.55;267.67;531.55;81.505;2018.6
494;145;149;309.06;241.67;464.51;364.25;197.78;477.98;71.791;1778.0
495;145;153;309.06;241.67;464.51;251.88;269.79;488.38;68.045;1685.2
496;145;158;309.06;241.67;464.51;296.37;181.36;499.34;70.788;1753.1
497;145;159;309.06;241.67;464.51;347.01;294.35;492.99;70.901;1755.9
498;145;172;309.06;241.67;464.51;327.06;236.68;532.43;70.440;1744.5
499;146;148;234.97;432.70;466.13;274.71;371.06;467.49;73.361;1816.9
500;146;150;234.97;432.70;466.13;303.32;451.59;472.59;71.205;1763.5
501;146;160;234.97;432.70;466.13;180.36;394.56;505.21;77.232;1912.7
502;146;173;234.97;432.70;466.13;228.75;435.34;536.51;70.704;1751.0
503;147;154;144.96;241.59;465.58;179.70;172.48;488.44;80.649;1997.3
504;147;168;144.96;241.59;465.58;148.10;221.50;530.49;68.017;1684.5
505;148;152;274.71;371.06;467.49;341.55;384.83;488.43;71.383;1767.9
506;148;161;274.71;371.06;467.49;223.04;334.42;507.14;74.737;1850.9
507;148;175;274.71;371.06;467.49;276.02;386.05;534.74;68.912;1706.7
508;149;158;364.25;197.78;477.98;296.37;181.36;499.34;73.028;1808.6
509;149;162;364.25;197.78;477.98;401.46;145.84;514.93;73.803;1827.8
510;149;172;364.25;197.78;477.98;327.06;236.68;532.43;76.556;1896.0
511;149;176;364.25;197.78;477.98;405.17;221.37;532.48;72.116;1786.0
512;149;177;364.25;197.78;477.98;346.40;173.09;550.00;78.199;1936.7
513;150;152;303.32;451.59;472.59;341.55;384.83;488.43;78.548;1945.3
514;150;171;303.32;451.59;472.59;345.22;445.72;531.11;72.218;1788.5
515;151;162;448.25;189.71;483.47;401.46;145.84;514.93;71.442;1769.3
516;151;167;448.25;189.71;483.47;470.40;246.92;521.17;72.007;1783.3
517;151;176;448.25;189.71;483.47;405.17;221.37;532.48;72.531;1796.3
518;152;163;341.55;384.83;488.43;408.53;414.54;516.23;78.367;1940.8
519;152;166;341.55;384.83;488.43;390.29;344.38;521.01;71.235;1764.2
520;152;171;341.55;384.83;488.43;345.22;445.72;531.11;74.457;1844.0
521;152;175;341.55;384.83;488.43;276.02;386.05;534.74;80.248;1987.4
522;152;182;341.55;384.83;488.43;340.23;379.10;560.40;72.215;1788.5
523;153;161;251.88;269.79;488.38;223.04;334.42;507.14;73.211;1813.2
524;153;165;251.88;269.79;488.38;234.41;205.82;522.12;74.402;1842.6
525;153;170;251.88;269.79;488.38;289.10;316.71;526.94;71.230;1764.1
526;153;174;251.88;269.79;488.38;199.55;267.67;531.55;67.869;1680.8
527;154;155;179.70;172.48;488.44;238.91;131.78;491.81;71.933;1781.5
528;154;165;179.70;172.48;488.44;234.41;205.82;522.12;72.380;1792.6
529;154;168;179.70;172.48;488.44;148.10;221.50;530.49;71.899;1780.6
530;154;178;179.70;172.48;488.44;183.99;166.42;560.97;72.907;1805.6
531;155;158;238.91;131.78;491.81;296.37;181.36;499.34;76.267;1888.8
532;155;164;238.91;131.78;491.81;309.92;114.40;518.09;77.682;1923.9
533;155;165;238.91;131.78;491.81;234.41;205.82;522.12;80.132;1984.6
534;155;181;238.91;131.78;491.81;246.24;124.95;561.69;70.588;1748.2
535;156;157;414.03;277.19;490.47;471.17;318.35;490.72;70.426;1744.2
536;156;159;414.03;277.19;490.47;347.01;294.35;492.99;69.230;1714.6
537;156;166;414.03;277.19;490.47;390.29;344.38;521.01;77.528;1920.1
538;156;167;414.03;277.19;490.47;470.40;246.92;521.17;70.971;1757.7
539;156;176;414.03;277.19;490.47;405.17;221.37;532.48;70.414;1743.9
540;156;180;414.03;277.19;490.47;415.48;289.60;558.92;69.588;1723.4
541;157;167;471.17;318.35;490.72;470.40;246.92;521.17;77.653;1923.2
542;157;179;471.17;318.35;490.72;460.18;348.77;552.02;69.305;1716.4
543;158;164;296.37;181.36;499.34;309.92;114.40;518.09;70.838;1754.4
544;158;165;296.37;181.36;499.34;234.41;205.82;522.12;70.405;1743.7
545;158;172;296.37;181.36;499.34;327.06;236.68;532.43;71.392;1768.1
546;158;177;296.37;181.36;499.34;346.40;173.09;550.00;71.672;1775.0
547;158;187;296.37;181.36;499.34;284.34;192.91;581.19;83.529;2068.7
548;159;166;347.01;294.35;492.99;390.29;344.38;521.01;71.845;1779.3
549;159;170;347.01;294.35;492.99;289.10;316.71;526.94;70.749;1752.2
550;159;172;347.01;294.35;492.99;327.06;236.68;532.43;72.660;1799.5
551;159;183;347.01;294.35;492.99;347.91;302.73;563.01;70.525;1746.6
552;160;161;180.36;394.56;505.21;223.04;334.42;507.14;73.770;1827.0
553;160;173;180.36;394.56;505.21;228.75;435.34;536.51;70.600;1748.5
554;160;184;180.36;394.56;505.21;152.55;361.63;560.57;70.155;1737.5
555;161;170;223.04;334.42;507.14;289.10;316.71;526.94;71.200;1763.3
556;161;174;223.04;334.42;507.14;199.55;267.67;531.55;74.851;1853.8
557;161;175;223.04;334.42;507.14;276.02;386.05;534.74;78.960;1955.5
558;161;186;223.04;334.42;507.14;221.69;358.53;574.71;71.754;1777.1
559;162;176;401.46;145.84;514.93;405.17;221.37;532.48;77.632;1922.6
560;162;177;401.46;145.84;514.93;346.40;173.09;550.00;70.739;1751.9
561;162;189;401.46;145.84;514.93;397.76;145.41;591.58;76.741;1900.6
562;163;166;408.53;414.54;516.23;390.29;344.38;521.01;72.650;1799.3
563;163;171;408.53;414.54;516.23;345.22;445.72;531.11;72.121;1786.2
564;163;190;408.53;414.54;516.23;390.60;426.11;585.12;72.115;1786.0
565;164;177;309.92;114.40;518.09;346.40;173.09;550.00;76.111;1885.0
566;164;181;309.92;114.40;518.09;246.24;124.95;561.69;77.889;1929.0
567;164;191;309.92;114.40;518.09;311.00;115.98;589.89;71.821;1778.7
568;165;174;234.41;205.82;522.12;199.55;267.67;531.55;71.613;1773.6
569;165;178;234.41;205.82;522.12;183.99;166.42;560.97;74.860;1854.0
570;165;185;234.41;205.82;522.12;272.32;264.23;568.17;83.484;2067.6
571;165;187;234.41;205.82;522.12;284.34;192.91;581.19;78.417;1942.1
572;165;195;234.41;205.82;522.12;215.75;225.71;589.11;72.331;1791.3
573;166;179;390.29;344.38;521.01;460.18;348.77;552.02;76.583;1896.7
574;166;180;390.29;344.38;521.01;415.48;289.60;558.92;71.215;1763.7
575;166;182;390.29;344.38;521.01;340.23;379.10;560.40;72.548;1796.7
576;166;183;390.29;344.38;521.01;347.91;302.73;563.01;72.762;1802.0
577;166;194;390.29;344.38;521.01;400.11;353.51;590.26;70.533;1746.8
578;167;176;470.40;246.92;521.17;405.17;221.37;532.48;70.964;1757.5
579;167;180;470.40;246.92;521.17;415.48;289.60;558.92;79.146;1960.1
580;167;193;470.40;246.92;521.17;469.83;259.86;590.61;70.641;1749.5
581;168;174;148.10;221.50;530.49;199.55;267.67;531.55;69.128;1712.0
582;168;178;148.10;221.50;530.49;183.99;166.42;560.97;72.467;1794.7
583;168;198;148.10;221.50;530.49;137.63;240.02;597.60;70.403;1743.6
584;169;174;136.96;300.29;526.04;199.55;267.67;531.55;70.797;1753.4
585;169;184;136.96;300.29;526.04;152.55;361.63;560.57;72.100;1785.6
586;169;196;136.96;300.29;526.04;173.22;298.03;587.63;71.504;1770.9
587;170;175;289.10;316.71;526.94;276.02;386.05;534.74;70.989;1758.1
588;170;183;289.10;316.71;526.94;347.91;302.73;563.01;70.389;1743.3
589;170;185;289.10;316.71;526.94;272.32;264.23;568.17;68.820;1704.4
590;171;182;345.22;445.72;531.11;340.23;379.10;560.40;72.951;1806.7
591;171;188;345.22;445.72;531.11;291.29;448.96;578.47;71.845;1779.3
592;171;190;345.22;445.72;531.11;390.60;426.11;585.12;73.213;1813.2
593;172;177;327.06;236.68;532.43;346.40;173.09;550.00;68.747;1702.6
594;172;183;327.06;236.68;532.43;347.91;302.73;563.01;75.714;1875.1
595;172;185;327.06;236.68;532.43;272.32;264.23;568.17;70.942;1757.0
596;172;187;327.06;236.68;532.43;284.34;192.91;581.19;78.218;1937.2
597;172;197;327.06;236.68;532.43;364.64;232.69;592.89;71.300;1765.8
598;173;175;228.75;435.34;536.51;276.02;386.05;534.74;68.324;1692.1
599;173;188;228.75;435.34;536.51;291.29;448.96;578.47;76.537;1895.5
600;173;200;228.75;435.34;536.51;227.79;433.91;606.56;70.073;1735.4
601;174;195;199.55;267.67;531.55;215.75;225.71;589.11;73.050;1809.2
602;174;196;199.55;267.67;531.55;173.22;298.03;587.63;68.997;1708.8
603;175;182;276.02;386.05;534.74;340.23;379.10;560.40;69.497;1721.2
604;175;186;276.02;386.05;534.74;221.69;358.53;574.71;72.853;1804.3
605;175;188;276.02;386.05;534.74;291.29;448.96;578.47;78.129;1934.9
606;175;199;276.02;386.05;534.74;288.55;358.56;596.37;68.640;1699.9
607;176;177;405.17;221.37;532.48;346.40;173.09;550.00;78.054;1933.1
608;176;180;405.17;221.37;532.48;415.48;289.60;558.92;73.899;1830.2
609;176;192;405.17;221.37;532.48;445.74;195.79;584.01;70.402;1743.6
