bond_id;labelA;labelB;d1_vox;d2_vox;strain;broken;nx_A;ny_A;nz_A;nx_B;ny_B;nz_B;normal_dz
787;228;248;73.510;88.794;0.207920;1;352.07;179.55;692.58;375.82;225.31;745.08;0.713
788;228;254;72.678;129.722;0.784888;1;352.07;179.55;692.58;334.50;169.73;762.07;0.961
789;229;230;70.751;97.117;0.372667;1;160.02;183.30;704.21;227.81;202.55;699.01;-0.074
790;229;244;70.970;3.186;-0.955105;1;160.02;183.30;704.21;130.91;237.01;741.36;0.520
791;229;251;74.418;113.907;0.530626;1;160.02;183.30;704.21;201.05;144.54;752.16;0.647
792;229;260;80.360;74.183;-0.076859;1;160.02;183.30;704.21;199.52;220.99;763.49;0.736
793;230;233;71.328;74.812;0.048843;1;227.81;202.55;699.01;297.31;220.88;706.06;0.098
794;230;239;79.512;105.694;0.329284;1;227.81;202.55;699.01;186.80;269.03;712.96;0.176
795;230;251;82.695;84.847;0.026016;1;227.81;202.55;699.01;201.05;144.54;752.16;0.640
796;230;256;71.017;74.706;0.051946;1;227.81;202.55;699.01;264.35;189.21;758.65;0.838
797;230;260;72.912;74.606;0.023232;0;227.81;202.55;699.01;199.52;220.99;763.49;0.886
798;231;236;70.228;77.276;0.100366;1;279.16;398.46;697.87;346.26;378.17;707.95;0.142
799;231;240;69.273;70.847;0.022717;1;279.16;398.46;697.87;321.64;452.92;715.30;0.245
800;231;242;71.006;62.469;-0.120230;1;279.16;398.46;697.87;285.07;336.59;732.13;0.483
801;231;247;72.116;84.142;0.166753;1;279.16;398.46;697.87;259.60;450.34;746.57;0.660
802;231;258;75.399;73.872;-0.020261;1;279.16;398.46;697.87;243.93;384.77;763.14;0.865
803;231;259;70.641;69.088;-0.021989;1;279.16;398.46;697.87;311.85;404.45;761.18;0.885
804;232;234;79.229;103.868;0.310984;1;135.23;316.84;704.90;210.83;341.61;713.85;0.112
805;232;239;70.654;69.276;-0.019512;1;135.23;316.84;704.90;186.80;269.03;712.96;0.114
806;232;246;68.784;72.874;0.059468;1;135.23;316.84;704.90;149.71;375.68;738.24;0.482
807;232;261;72.338;69.697;-0.036502;1;135.23;316.84;704.90;166.39;307.47;768.94;0.892
808;233;256;70.392;0.381;-0.994590;1;297.31;220.88;706.06;264.35;189.21;758.65;0.755
809;233;257;71.466;82.066;0.148319;1;297.31;220.88;706.06;317.76;258.14;762.93;0.801
810;234;239;76.201;105.167;0.380126;1;210.83;341.61;713.85;186.80;269.03;712.96;-0.012
811;234;242;76.211;52.264;-0.314221;1;210.83;341.61;713.85;285.07;336.59;732.13;0.239
812;234;246;74.179;64.484;-0.130691;1;210.83;341.61;713.85;149.71;375.68;738.24;0.329
813;234;252;83.544;117.094;0.401576;1;210.83;341.61;713.85;248.48;276.94;751.83;0.453
814;234;258;73.489;44.834;-0.389925;1;210.83;341.61;713.85;243.93;384.77;763.14;0.672
815;234;261;77.345;104.308;0.348610;1;210.83;341.61;713.85;166.39;307.47;768.94;0.701
816;235;253;71.478;102.113;0.428581;1;323.58;118.17;708.02;270.37;117.15;756.72;0.675
817;235;254;76.066;102.765;0.351008;1;323.58;118.17;708.02;334.50;169.73;762.07;0.716
818;236;240;78.234;92.082;0.177010;1;346.26;378.17;707.95;321.64;452.92;715.30;0.093
819;236;242;78.243;94.096;0.202612;1;346.26;378.17;707.95;285.07;336.59;732.13;0.311
