bead_id,voxels,volume_mm3,r_eq_vox,cz,cy,cx,r_fit_vox,fill,roughness,sphericity,radius_ok,shape_ok,scan,on_boundary
61,201055,3.0541030621773,36.34199432422642,39.12748252965606,38.20821168337022,37.8940439183308,35.90547514136021,1.0369175717334382,0.0155432985566858,0.9876662346346142,True,True,1,True
62,205786,3.1259687784597143,36.6248402243277,38.786720185046605,38.49627768652872,39.034613627749216,36.18772446181605,1.036676829012236,0.0151479462177037,0.9860771531293752,True,True,1,False
63,210533,3.1980775409185225,36.90431851175298,40.16664845891143,39.274664779393255,38.91637415512057,36.470794356000255,1.0360862301626927,0.0167723206645733,0.9774565995890854,True,True,1,False
64,203163,3.086124395917171,36.46856455360579,38.87481972603279,39.73467609751776,39.17503679311686,36.043365837356674,1.0358097343955228,0.0150762730979732,0.9840719471650426,True,True,1,False
65,199691,3.0333833756397364,36.25962382264942,38.19899745106189,38.4097981381234,38.04363241207666,35.83130346317908,1.036291798764671,0.0142858122791843,0.9968546849147348,True,True,1,True
66,195159,2.964540546176219,35.98321730809904,38.165321609559385,38.067468064501256,38.75371876264994,35.5498203668899,1.0370214584171549,0.0149877287289976,0.9735439627767248,True,True,1,True
67,198052,3.008486332945406,36.16014869728839,38.09209197584473,39.09469230303153,37.668627431179694,35.72355786974092,1.0371140218443082,0.0143942637108275,0.9948660829126228,True,True,1,False
68,200685,3.0484826193481958,36.31968733548496,38.73185838503127,38.787687171437824,37.87874529735655,35.90079453473782,1.0354142144627017,0.0145471536505774,0.9799547068145492,True,True,1,True
69,197704,3.003200078608843,36.1389571090498,37.83447982843038,38.09871322785578,38.925772872577184,35.68644678827853,1.0385249183162686,0.0161022543658634,0.9721822526157742,True,True,1,False
70,201473,3.060452643535585,36.36716229364056,39.27222506241531,38.25678378740576,39.31748671037806,35.91965359740183,1.0378433924802295,0.0159027766898099,0.9825940552382462,True,True,1,False
71,194126,2.9488488774128,35.91961713261117,37.87494204794824,37.25887825432966,38.44314002245964,35.472819175164844,1.0382644436029156,0.0141256623997524,0.9789085123168488,True,True,1,True
72,199827,3.035449268139083,36.26785352048308,37.533716664915154,37.36739779909622,38.09310553628889,35.82649163044656,1.037415459123985,0.0157610064510276,0.9871139981173276,True,True,1,True
73,193572,2.940433403555168,35.885415243508945,37.44474924059265,38.77046783625731,38.33074514909181,35.45426330605102,1.036927830359816,0.0134109485592095,0.9932046138065156,True,True,1,False
74,204273,3.1029857244044843,36.53486042988025,39.30322656445051,39.30725059112071,38.87352709364429,36.11352738920266,1.035410648606109,0.0162035925455152,0.9883698118779874,True,True,1,False
75,200688,3.0485281905062696,36.319868313168186,38.85931395997768,38.778242844614525,39.79883700071753,35.891795741677804,1.0362086969158966,0.015444230031262,0.9902785730417988,True,True,1,False
76,201108,3.054908152636604,36.34518740816804,38.35488891540864,38.983630685999564,38.963169043499015,35.9301907298126,1.035052002504787,0.0149555232954841,0.9878858258335655,True,True,1,True
77,213377,3.241278998772504,37.06975068572565,39.13909184213856,39.82474212309668,40.52498629186838,36.63045064068492,1.0364114704836664,0.0167765753993664,0.9824109941506476,True,True,1,False
78,198405,3.013848539212092,36.18161941596451,38.1154406390968,38.95606965550263,38.3811295078249,35.72925607151543,1.038465521901451,0.0153623576389213,0.9859289880754168,True,True,1,False
79,198323,3.0126029275580746,36.17663415581315,38.24892725503346,38.11264452433656,38.92488011980456,35.75126854926083,1.0361201149034918,0.0159756040833482,0.9813192008690144,True,True,1,False
80,198190,3.010582606216802,36.16854538428099,37.61604016347949,38.86984711640345,38.508643221151424,35.73898774339162,1.0364930292612204,0.0155668982952387,0.987080058343706,True,True,1,True
81,196964,2.991959192950634,36.09381173401473,38.35755772628501,38.85112507869459,39.75628033549278,35.66699302940365,1.0363316346469351,0.0160950012839632,0.988354275469733,True,True,1,False
82,201087,3.0545891545300874,36.34392229107731,37.98540930045204,39.73715854331707,37.62711662116397,35.914768219811506,1.036277769445049,0.017638060092571,0.9782322285553312,True,True,1,True
83,196104,2.9788954609694724,36.04120319399272,38.23859788683556,37.91897156610778,37.88457145188267,35.63065492851771,1.0349668207420162,0.01369960418053,0.9899772939418204,True,True,1,False
84,190163,2.888649377597284,35.673506791197624,37.5578161892692,37.96433060059002,37.90128468734717,35.23026901498732,1.0382203390812772,0.0142081072730688,0.9847738616434188,True,True,1,True
85,194935,2.961137899706707,35.96944507375879,38.69556005848104,38.7138020365763,37.95430271629005,35.5257071442984,1.0379418400246696,0.0160635918099392,0.9840731040793108,True,True,1,False
86,200204,3.04117604367036,36.29064722228676,38.88189047171885,38.82542306847016,38.32335018281353,35.87637993636323,1.035042772537968,0.0148084179935599,0.9900406532678048,True,True,1,True
87,198403,3.013818158440043,36.18149784059765,38.00026713305746,38.76858212829443,38.2958977434817,35.744346399569494,1.0371403832587762,0.0156159495759849,0.986337506818681,True,True,1,True
88,197985,3.0074685770817573,36.1560706383052,38.226108038487766,38.50901330908907,39.107179836856325,35.73141567911231,1.0360793281029903,0.0160721226912213,0.9883599595125462,True,True,1,True
89,195400,2.968201429208149,35.99802299334317,38.42029170931423,38.10636642784033,39.52916069600819,35.5667235433142,1.0368224026812147,0.0153580234761422,0.994087780267712,True,True,1,False
90,201747,3.064614809306328,36.38364107515797,38.34646859680689,38.692644748125126,39.2526481186833,35.96695267443567,1.0351601520935685,0.0177291168159521,0.9820053807663784,True,True,1,True
91,194058,2.947815931163127,35.91542257303428,38.46979253625205,38.28188479732864,36.46832905626153,35.46629470213645,1.0384736623247506,0.0201549699709223,0.9763575606515916,True,True,1,True
92,196818,2.9897413965910413,36.08489132367293,38.56346472375494,38.52806145779349,37.97034824050646,35.649049747270894,1.0371279331806358,0.0155570420120292,0.9822385079187091,True,True,1,False
93,195288,2.966500105973393,35.991143858002715,38.327992503379626,37.81193416902216,38.30384355413543,35.555270525030345,1.037229801502637,0.015391995202155,0.9916105353656994,True,True,1,False
94,193750,2.943137292267548,35.89641140513762,37.4013935483871,37.67229935483871,38.35510709677419,35.47859980683258,1.0357470065153964,0.0154196157438604,0.9910013177923384,True,True,1,True
95,193494,2.939248553445249,35.88059457654834,38.72121099362254,37.85243986893651,38.28158495870673,35.452560404486455,1.0366593674141242,0.0144241330177172,0.9882133612545332,True,True,1,True
96,198569,3.016339762520128,36.19158581700373,38.25219445129905,37.29891876375466,38.74103208456506,35.76264928807279,1.0364152345283906,0.0178350950810816,0.9770803576786196,True,True,1,False
97,192623,2.9260177272178165,35.8266755774945,38.82267434314698,38.33323123406862,37.42030806290007,35.40486043444723,1.0361696632348556,0.0138097063236599,0.9919228973873252,True,True,1,True
98,193665,2.9418461094554567,35.89116126961165,37.94929904732399,37.908687682338055,39.94686701262489,35.44667140234608,1.0380927382398288,0.0152978172017291,0.9908403039840298,True,True,1,False
99,195328,2.967107721414377,35.9936009939137,39.28605729849279,37.79339367627785,38.68135136795544,35.578904848117915,1.0353761722428698,0.0160693181625163,0.983964606773717,True,True,1,False
100,189467,2.8780768689241576,35.62993169385695,37.96003525679934,38.100809111877005,38.56687444251506,35.19134937140958,1.0378562626207148,0.0145997091060416,0.9939122592996232,True,True,1,True
101,190037,2.8867353889581837,35.665626087151345,37.99862132111115,37.99075443203166,37.935454674616,35.23190066923986,1.037388281784004,0.014582717279958,0.991064485456945,True,True,1,True
102,197776,3.0042937864026147,36.14334361464908,38.28269860852682,38.06958882776475,39.54751840465982,35.731486472439826,1.0349794542431672,0.0167440594516565,0.98270780446275,True,True,1,True
103,192402,2.9226606519063782,35.81296879399418,37.1353416284654,39.6334393613372,38.31439382127005,35.35409613016815,1.039445581519236,0.0171543539533039,0.976831026073341,True,True,1,True
104,192641,2.9262911541662597,35.82779150528109,38.63749669073562,38.06272288868932,48.85940168499956,35.36151904083852,1.0400815103082452,0.0306564720833886,0.9831737013679518,True,True,1,True
105,204978,3.113694946551832,36.57684264942452,38.652430992594326,39.080940393603214,39.24613860999717,36.14827789141744,1.0359905769133655,0.0170606918563693,0.9922776011161504,True,True,1,False
106,194165,2.94944130246776,35.92202239391426,38.910225838848405,38.54335745371205,37.98445136868128,35.49021586563834,1.0369466552414577,0.0154539172442767,0.9935936043757936,True,True,1,False
107,188068,2.8568255188757328,35.54201934611102,37.66553055277878,37.54834953314759,37.36190633175234,35.12562107993165,1.0359868925459226,0.0138092072889582,0.9877055683345902,True,True,1,False
108,193932,2.9459019425240265,35.90764771016112,37.62907101458243,39.24119794567168,37.7388259802405,35.47546459376016,1.0369948311839778,0.0153143068956693,0.9908288103454096,True,True,1,True
109,188873,2.869053779625541,35.592658122246405,38.67156237259957,37.58847479523278,37.62868700131835,35.16415544298465,1.0370046307073255,0.0149376873599942,0.97890692483911,True,True,1,True
110,192310,2.921263136392114,35.8072597084671,38.47557069315168,37.83356559721283,39.09012011855858,35.371281581848805,1.0374349429541432,0.0150002124262591,0.9962520167451492,True,True,1,False
111,203731,3.0947525351791474,36.50251901463472,37.347173478753845,38.93198874987115,39.32546347880293,36.16186591777415,1.0285277483849236,0.0263573206289064,0.9549640854446856,True,True,1,True
112,196500,2.9849108538352165,36.065446657252224,37.98833078880407,37.73481933842239,38.876111959287535,35.6361468947716,1.0365773716830289,0.0164055245876175,0.981523965621389,True,True,1,False
113,191406,2.90753102742587,35.751064647882906,37.45593659550902,38.32300450351609,36.838719789348296,35.30658025914875,1.0382453020517597,0.015816501276435,0.9857106680967912,True,True,1,False
114,191535,2.9094905872230443,35.75909444083849,37.80885477850001,38.86143002584384,37.49567964079672,35.333982449680576,1.0365297457527607,0.0151281687794061,0.9868508901111078,True,True,1,True
115,198901,3.021382970680297,36.211744915612826,38.68223890277073,38.22745486448032,38.79263553224971,35.80848331507534,1.034166766382863,0.0171402527101202,0.9767701400000104,True,True,1,True
116,191467,2.908457640973371,35.754862131266286,38.30479926044697,38.44576349971536,38.18476290953532,35.32355942036186,1.0370792510324542,0.0153505976666203,0.9806172170491396,True,True,1,True
117,198499,3.0152764354984054,36.18733253685068,38.67189759142364,39.434803198001,38.735877762608375,35.789403602561535,1.033728118992278,0.0170328718459917,0.987544010009274,True,True,1,False
118,193396,2.937759895614837,35.874536004404135,37.97076981943784,39.51048108544127,37.64986349252311,35.45524461317831,1.035899014768189,0.0178957081420538,0.9868528181576576,True,True,1,True
119,217245,3.3000354119156823,37.292405121338255,38.434449584570416,39.27200165711524,38.89109070404382,36.90947189830666,1.0314488272327351,0.032436820276496,0.9542703504809082,True,True,1,True
120,189551,2.8793528613502244,35.63519641378069,37.753375081112736,38.89205543626781,37.65172433804095,35.2167851202311,1.0360682099819822,0.0137522084706598,0.9910222320637698,True,True,1,True
121,189483,2.878319915100551,35.630934617603785,37.80935492893822,38.04277428581984,38.39502224473964,35.19343207365118,1.037759645239244,0.0143303927008653,0.9937125323427092,True,True,1,True
122,200630,3.0476471481168423,36.31636909160694,38.71223147086677,38.34551662263869,38.19515526092808,35.92751796705538,1.0328223279813613,0.019005213343235,0.9847601982737506,True,True,1,True
123,191420,2.9077436928302145,35.7519362727754,37.86209904921116,38.43123498067077,38.51105422630864,35.32992119297582,1.0362646813513976,0.0148965365690171,0.9840388331450431,True,True,1,False
124,187859,2.85365072819659,35.52884851529956,38.10407273540262,37.111684827450375,38.3771232679829,35.09417997205668,1.0376194408796011,0.0153227245364298,0.9888463592961624,True,True,1,True
125,192748,2.9279165254708923,35.83442364163843,37.807878680972046,38.14439579139602,38.44927055014838,35.41515534857339,1.035938127735197,0.0146673276703895,0.989265445784402,True,True,1,True
126,193260,2.935694003115491,35.86612479803742,37.84244541032805,38.67810203870434,38.00604367173756,35.435056736834454,1.0369408136331677,0.0163922030955549,0.9922270627972954,True,True,1,True
127,188978,2.870648770158125,35.59925256537631,37.32364084708273,38.42266824709755,38.213617458116815,35.18877450302348,1.0354048918909693,0.0150811853025724,0.9807869509630808,True,True,1,True
128,306818,4.660683859297778,41.84055228225114,55.30203573453969,58.59405250017926,77.31802241067994,49.32880772883986,0.6102255241688529,0.3344091698850613,0.5755308851575613,True,False,1,True
129,189987,2.885975869656953,35.66249785821882,36.91085705864086,37.58292935832452,37.323401074810384,35.25272048337554,1.0352789011292989,0.0142628780505363,0.978755469874772,True,True,1,True
130,196213,2.9805512130461542,36.04787952138077,37.843313134196,37.99117285806751,37.59936395651664,35.67310204139348,1.0318499330568136,0.0184604898233305,0.9738470839600806,True,True,1,False
131,190139,2.8882848083326933,35.6720059731562,37.33164684783237,38.07074298276524,38.07279937309021,35.2416761313543,1.0370815998674128,0.014994359342994,0.9933683385374554,True,True,1,True
132,184771,2.8067428161526045,35.33309924883801,36.69178063657176,37.9223038247344,37.96704569440009,34.91753147095713,1.0361308393699649,0.0139322487780068,0.984715399869412,True,True,1,True
133,191198,2.904371427132752,35.73810978281465,37.642595633845545,38.04410087971632,38.37354470235044,35.31553289976799,1.036328504701947,0.0153014694820524,0.993553300073163,True,True,1,False
134,193339,2.9368940436114346,35.871011199549,38.04135223622756,38.83944780928835,46.574177998231086,35.38065345869943,1.0421573823242514,0.0382945976698393,0.9797863247393094,True,True,1,True
135,185402,2.816327949734131,35.37327484282928,37.535263913010645,37.16051606778783,38.09020938285455,34.94847262475259,1.0369103386245246,0.0383114078132554,0.980839003025411,True,True,1,True
136,189337,2.876102118740959,35.62178084455826,37.9412212087442,37.99235226078368,38.269788789301614,35.18560936968058,1.0376518188938768,0.0155685010649312,0.9912688761602738,True,True,1,False
137,189102,2.872532378025176,35.60703714377713,37.56339964675149,37.13360514431365,38.67517001406648,35.180020896310765,1.0368578822326804,0.0155039550548872,0.993226458491392,True,True,1,False
138,193621,2.941177732470374,35.88844294895827,38.29637281080048,38.61319794856963,38.499088425325766,35.46590689119442,1.0361691092754393,0.0156472774776946,0.9867156802096796,True,True,1,True
139,204459,3.105811136205061,36.54594595847623,37.73687634195609,39.87754513129772,38.69197736465502,36.09724108970927,1.0377568120031382,0.0178980788651184,0.9778666909459244,True,True,1,False
