bead_a,bead_b,r_a_vox,r_b_vox,gap_vox,gap_um,z_mid,axis_dip_deg,lens_vox,lens_mm3,binder_vox,pore_vox,crack_vox,binder_frac,pore_frac,crack_frac,connected,bond_area_vox,r_bond_vox,r_bond_over_R,q_crack_med,q_binder_med,q_pore_med
3,153,38.25251996121985,35.365641503538356,2.8284271247461903,70.0488909424453,975.8151168899369,47.71224403539,3414,0.05185997788800727,3406,8,0,0.9976567076742824,0.0023432923257176333,0.0,True,1.0,0.5641895835477563,0.01532745649503458,,0.28989794855663564,0.41584293989085164
3,183,38.25251996121985,35.234534161139976,4.685557720282968,116.04262979979977,980.1143934278715,38.97792682364659,5186,0.07877734192361034,5152,34,0,0.9934438873891246,0.006556112610875434,0.0,True,4.0,1.1283791670955126,0.030709604040371558,,0.27718637277259645,0.36893512470344775
3,267,38.25251996121985,35.08616142807222,2.0,49.5320458,916.2836207522078,26.549077810988432,3566,0.05416891656374749,3511,55,0,0.9845765563656759,0.015423443634324173,0.0,True,8.0,1.5957691216057308,0.043517802375943,,0.30484544052339907,0.4142135623730951
3,272,38.25251996121985,34.74035279998909,2.732050807568877,67.66203286421431,972.3350537247151,53.05146868782644,3867,0.058741222757154106,3845,22,0,0.9943108352728213,0.005689164727178691,0.0,True,4.0,1.1283791670955126,0.03091751631113152,,0.28989794855663564,0.447644398989701
9,89,37.95242012819042,35.99802299334317,2.0,49.5320458,1019.6131460511765,85.7400716827372,3580,0.05438158196809199,3562,18,0,0.9949720670391061,0.005027932960893855,0.0,True,9.0,1.692568750643269,0.04577575682302871,,0.30383243470068705,0.43681123848118647
9,174,37.95242012819042,36.34970496468319,2.0,49.5320458,996.5210544058712,57.96216746700704,3412,0.05182959711595806,3402,10,0,0.9970691676436108,0.0029308323563892145,0.0,True,12.0,1.9544100476116797,0.05260711036646054,,0.30484544052339907,0.30120838424564655
9,183,37.95242012819042,35.234534161139976,2.0,49.5320458,1013.6658133974865,85.09351337992939,3525,0.053546110736738615,3498,27,0,0.9923404255319149,0.007659574468085106,0.0,True,1.0,0.5641895835477563,0.01541776369917902,,0.3090169943749474,0.43649167310370846
10,29,38.25001814000371,37.159582297628006,2.0,49.5320458,770.2802695917815,87.96823446494045,4137,0.06284262698379792,4078,59,0,0.9857384578196761,0.014261542180323905,0.0,True,9.0,1.692568750643269,0.04489000712961276,,0.3090169943749474,0.4142135623730951
8,151,37.72744805110875,35.816380965084186,2.0,49.5320458,220.60769614488774,75.40827123001216,3419,0.051935929818130305,3419,0,0,1.0,0.0,0.0,True,11.0,1.8712051592547776,0.050886802721211974,,0.3090169943749474,
8,311,37.72744805110875,34.45220336402628,2.8284271247461903,70.0488909424453,232.73394508403163,55.603110360037576,3329,0.050568795075915704,3329,0,0,1.0,0.0,0.0,True,4.0,1.1283791670955126,0.03126585249368239,,0.28989794855663564,
8,328,37.72744805110875,37.30950611713614,2.0,49.5320458,214.94753311318976,84.39074398879926,3875,0.058862745845350964,3851,24,0,0.9938064516129033,0.006193548387096774,0.0,True,45.0,3.7846987830302403,0.1008755972302484,,0.2989350844248255,0.4270509831248423
9,23,37.95242012819042,36.92825927024467,2.0,49.5320458,1034.714572517004,61.67394557816536,3854,0.05854374773883422,3853,1,0,0.9997405293201869,0.0002594706798131811,0.0,True,1.0,0.5641895835477563,0.015069029503478226,,0.3090169943749474,0.37268226712382524
7,113,38.29939576652454,35.751064647882906,5.242640687119285,129.83935931366793,1089.952674340088,19.551737246967058,5264,0.07996219203352967,5088,176,0,0.9665653495440729,0.03343465045592705,0.0,True,2.0,0.7978845608028654,0.021549752866833683,,0.28172904669025317,0.27429188517743175
7,136,38.29939576652454,35.62178084455826,2.0,49.5320458,1099.6953166467056,41.542997380388485,3922,0.05957669398850748,3905,17,0,0.9956654767975522,0.004334523202447731,0.0,True,3.0,0.9772050238058398,0.026439109024120434,,0.3090169943749474,0.34514099850039526
